documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
PDT/PICK/00175,S00151,PROBA LLC,Hecho,2026-09-08 15:00,2026-09-23 12:57,2026-09-23 23:00:35
PDT/INT/00044,S00151,PROBA LLC,Hecho,2026-09-17 10:58,2026-09-23 11:06,2026-09-23 23:00:35
PDT/INT/00045,S00151,PROBA LLC,Hecho,2026-09-23 10:51,2026-09-23 11:12,2026-09-23 23:00:35
