lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 209 26,GOYA UE  - PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,1.0,6.8,3.07,2.5,,,,2.72,ET,False,,2026-08-04,2026-08-04 23:00:38
HF PB 209 26,GOYA UE  - PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,2.0,7.1,3.14,2.32,,,,3.06034482758621,ET,False,,2026-08-04,2026-08-04 23:00:38
HF PB 216 26,GOYA UE  - PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,1.0,7.2,3.12,2.31,,,,3.11688311688312,ET,False,,2026-08-04,2026-08-04 23:00:38
HF PB 216 26,GOYA UE  - PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,2.0,6.8,3.1,2.24,,,,3.03571428571429,ET,False,,2026-08-04,2026-08-04 23:00:38
HF PB 216 26,GOYA UE  - PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,3.0,6.4,2.95,2.3,,,,2.78260869565217,ET,False,,2026-08-04,2026-08-04 23:00:38
HF PB 216 26,GOYA UE  - PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,4.0,6.6,2.99,2.18,,,,3.02752293577982,ET,False,,2026-08-04,2026-08-04 23:00:38
HF PB 216 26,GOYA UE  - PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,5.0,6.2,3.07,2.32,,,,2.67241379310345,ET,False,,2026-08-04,2026-08-04 23:00:38
L2162607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,1.0,7.1,3.66,,5.1,,52.46,,ET,False,,2026-08-04,2026-08-04 23:00:38
L2162607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,2.0,8.1,3.57,,6.5,,58.51,,ET,False,,2026-08-04,2026-08-04 23:00:38
L2162607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,3.0,7.1,3.71,,6.6,,53.43,,ET,False,,2026-08-04,2026-08-04 23:00:38
L2162607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,4.0,7.9,3.67,,5.2,,55.83,,ET,False,,2026-08-04,2026-08-04 23:00:38
L2162607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,5.0,7.8,3.72,,5.1,,,,SF,False,,2026-08-04,2026-08-04 23:00:38
