documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
PDT/INT/00011,S00127,NATURANDINA AMERICA IMPORT SL,Hecho,2026-07-16 16:35,2026-07-16 23:17,2026-07-17 04:30:21
PDT/INT/00012,S00128,PROBA LLC,Disponible,2026-07-16 16:40,,2026-07-17 04:30:21
