documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
PDT/PICK/00147,S00127,NATURANDINA AMERICA IMPORT SL,Hecho,2026-07-17 08:00,2026-07-17 14:55,2026-07-17 23:30:24
PDT/INT/00013,S00127,NATURANDINA AMERICA IMPORT SL,Hecho,2026-07-17 14:50,2026-07-17 14:54,2026-07-17 23:30:24
