lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 146 26,GOYA USA  - PULPA DE TOMATE DE ARBOL GOYA USA UNIDAD 397 g - GOYA USA,1.0,7.6,3.73,1.12,,,,6.78571428571428,SF,False,,2026-07-10,2026-07-11 04:30:32
HF PB 147 26,GOYA USA  - PULPA DE NARANJILLA GOYA USA UNIDAD 397 g - GOYA USA,1.0,7.7,2.99,1.84,,,,4.18478260869565,ET,False,,2026-07-10,2026-07-11 04:30:32
HF PB 191 26,GOYA USA  - PULPA DE TOMATE DE ARBOL GOYA USA UNIDAD 397 g - GOYA USA,1.0,7.7,3.69,1.2,,,,6.41666666666667,SF,False,,2026-07-10,2026-07-11 04:30:32
HF PB 191 26,GOYA USA  - PULPA DE TOMATE DE ARBOL GOYA USA UNIDAD 397 g - GOYA USA,2.0,7.6,3.75,1.12,,,,6.78571428571428,SF,False,,2026-07-10,2026-07-11 04:30:32
HF PB 191 26,GOYA USA  - PULPA DE TOMATE DE ARBOL GOYA USA UNIDAD 397 g - GOYA USA,3.0,7.3,3.74,1.12,,,,6.51785714285714,SF,False,,2026-07-10,2026-07-11 04:30:32
HF PB 191 26,GOYA USA  - PULPA DE TOMATE DE ARBOL GOYA USA UNIDAD 397 g - GOYA USA,4.0,7.7,3.64,1.08,,,,7.12962962962963,JG,False,,2026-07-10,2026-07-11 04:30:32
HF PB 191 26,GOYA USA  - PULPA DE TOMATE DE ARBOL GOYA USA UNIDAD 397 g - GOYA USA,5.0,7.0,3.89,0.96,,,,7.29166666666667,JG,False,,2026-07-10,2026-07-11 04:30:32
HF PB 191 26,GOYA USA  - PULPA DE TOMATE DE ARBOL GOYA USA UNIDAD 397 g - GOYA USA,6.0,7.4,3.78,1.03,,,,7.18446601941748,JG,False,,2026-07-10,2026-07-11 04:30:32
HF PB 191 26,GOYA USA  - PULPA DE NARANJILLA GOYA USA UNIDAD 397 g - GOYA USA,7.0,7.0,3.19,1.8,,,,3.88888888888889,ET,False,,2026-07-10,2026-07-11 04:30:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,1.0,7.4,3.11,,,,,,ET,False,,2026-07-10,2026-07-11 04:30:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,2.0,7.5,3.06,,,,,,ET,False,,2026-07-10,2026-07-11 04:30:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,3.0,7.8,3.24,,,,,,ET,False,,2026-07-10,2026-07-11 04:30:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,4.0,7.8,3.21,,,,,,ET,False,,2026-07-10,2026-07-11 04:30:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,5.0,7.9,3.15,,,,,,ET,False,,2026-07-10,2026-07-11 04:30:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,6.0,7.7,3.19,,,,,,ET,False,,2026-07-10,2026-07-11 04:30:32
