documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
BDG/INT/00081,S00054,PROBA LLC,Hecho,2026-06-15 18:56,2026-06-15 20:38,2026-06-16 03:00:25
BDG/INT/00082,S00093,NATURANDINA AMERICA IMPORT SL,Hecho,2026-06-15 19:00,2026-06-15 19:33,2026-06-16 03:00:25
