documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
PDT/INT/00022,S00143,PROBA LLC,Hecho,2026-07-29 12:40,2026-07-29 13:56,2026-07-30 01:00:26
PDT/PICK/00165,S00143,PROBA LLC,Disponible,2026-07-31 12:00,,2026-07-30 01:00:26
