orden_venta,producto,producto_template,cantidad,unidad_medida,precio_unitario,subtotal,actualizado
S00095,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,500.0,Caja de 12,8.48,4240.0,2026-06-28 08:00:20
S00094,[SALS004] SALSA DE MORA EDULCORADA 15 KG,[SALS004] SALSA DE MORA EDULCORADA 15 KG,855.0,kg,3.52,3009.6,2026-06-28 08:00:20
S00093,[PTEXP018] Pulpa Guanabana America x 250 gr (CAJAS 10 UDS),[PTEXP018] Pulpa Guanabana America x 250 gr (CAJAS 10 UDS),13680.0,Units,0.86,11764.8,2026-06-28 08:00:20
S00093,[PTEXP019] Pulpa Lulo America x 250 gr (CAJAS 10 UDS),[PTEXP019] Pulpa Lulo America x 250 gr (CAJAS 10 UDS),13680.0,Units,0.57,7797.6,2026-06-28 08:00:20
S00093,[PTEXP017] Pulpa Guayaba America x 250 gr (CAJAS 10 UDS),[PTEXP017] Pulpa Guayaba America x 250 gr (CAJAS 10 UDS),3420.0,Units,0.42,1436.4,2026-06-28 08:00:20
S00093,[PTEXP020] Pulpa Tamarindo America x 250 gr (CAJAS 10 UDS),[PTEXP020] Pulpa Tamarindo America x 250 gr (CAJAS 10 UDS),6840.0,Units,0.65,4446.0,2026-06-28 08:00:20
S00093,[PTEXP012] Pulpa Mango America x 250 gr (CAJAS 10 UDS),[PTEXP012] Pulpa Mango America x 250 gr (CAJAS 10 UDS),23940.0,Units,0.43,10294.2,2026-06-28 08:00:20
S00093,[PTEXP015] Pulpa Maracuyá America x 250 gr (CAJAS 10 UDS),[PTEXP015] Pulpa Maracuyá America x 250 gr (CAJAS 10 UDS),6840.0,Units,0.9,6156.0,2026-06-28 08:00:20
S00093,[PTEXP014] Maracuyá C/ Pepas x 500 gr (CAJAS 10 UDS),[PTEXP014] Maracuyá C/ Pepas x 500 gr (CAJAS 10 UDS),3960.0,Units,1.88,7444.8,2026-06-28 08:00:20
S00093,[PTEXP013] Pulpa Tomate de Árbol America x 250 gr (CAJAS 10 UDS),[PTEXP013] Pulpa Tomate de Árbol America x 250 gr (CAJAS 10 UDS),3420.0,Units,0.53,1812.6,2026-06-28 08:00:20
S00092,[SW001] SWIRL DE MORA 20 KG,[SW001] SWIRL DE MORA 20 KG,1500.0,kg,1.93,2895.0,2026-06-28 08:00:20
S00092,[PULP004] PULPA DE MORA CON PEPAS 18 KG,[PULP004] PULPA DE MORA CON PEPAS 18 KG,4500.0,kg,2.76,12420.0,2026-06-28 08:00:20
S00092,[PULP001] COCO RALLADO 20 KG,[PULP001] COCO RALLADO 20 KG,4240.0,kg,4.0,16960.0,2026-06-28 08:00:20
S00091,[PULP025] PULPA DE MANGO 16 KG,[PULP025] PULPA DE MANGO 16 KG,272.0,kg,1.37,372.64,2026-06-28 08:00:20
S00090,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,1530.0,kg,2.73,4176.9,2026-06-28 08:00:20
S00090,[SALS008] SALSA LISA DE FRESA ,[SALS008] SALSA LISA DE FRESA ,1140.0,kg,2.8,3192.0,2026-06-28 08:00:20
S00090,[SALS009] SALSA DE ARANDANO,[SALS009] SALSA DE ARANDANO,1500.0,kg,11.91,17865.0,2026-06-28 08:00:20
S00087,[PULP017] PULPA DE MORA 16 KG,[PULP017] PULPA DE MORA 16 KG,1504.0,kg,3.09,4647.36,2026-06-28 08:00:20
S00087,[PULP005] PULPA DE NARANJILLA 16 KG,[PULP005] PULPA DE NARANJILLA 16 KG,304.0,kg,3.0,912.0,2026-06-28 08:00:20
S00087,[PULP016] PULPA DE FRESA 16 KG,[PULP016] PULPA DE FRESA 16 KG,1200.0,kg,2.7,3240.0,2026-06-28 08:00:20
S00086,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,144.0,kg,8.5,1224.0,2026-06-28 08:00:20
S00085,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,1000.0,kg,3.79,3790.0,2026-06-28 08:00:20
S00054,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
