lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 167 26,GOYA USA  - PULPA DE PAPAYA GOYA USA UNIDAD 397 g - GOYA USA,1.0,9.8,5.45,0.12,,,,81.6666666666667,ET,False,,2026-07-15,2026-07-15 23:30:35
HF PB 195 26,GOYA USA  - PULPA DE PAPAYA GOYA USA UNIDAD 397 g - GOYA USA,1.0,10.0,5.21,0.11,,,,90.9090909090909,ET,False,,2026-07-15,2026-07-15 23:30:35
HF PB 195 26,GOYA USA  - PULPA DE PAPAYA GOYA USA UNIDAD 397 g - GOYA USA,2.0,9.7,5.13,0.1,,,,97.0,ET,False,,2026-07-15,2026-07-15 23:30:35
HF PB 195 26,GOYA USA  - PULPA DE PAPAYA GOYA USA UNIDAD 397 g - GOYA USA,3.0,9.6,5.13,0.11,,,,87.2727272727273,ET,False,Encime 100 kg,2026-07-15,2026-07-15 23:30:35
L1882615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,1.0,18.5,2.92,,,,,,SF,False,,2026-07-15,2026-07-15 23:30:35
L1962604,DULCAFE S.A.  - SALSA DE CHOCOLATE 1 KG - DULCAFE S.A.,1.0,57.3,6.69,,15.2,,,,ET,False,,2026-07-15,2026-07-15 23:30:35
L1962604,DULCAFE S.A.  - SALSA DE CHOCOLATE 1 KG - DULCAFE S.A.,2.0,59.2,6.5,16.4,,,,3.60975609756098,ET,False,,2026-07-15,2026-07-15 23:30:35
L1962615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,1.0,18.3,2.98,,,,,,SF,False,,2026-07-15,2026-07-15 23:30:35
