documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
BDG/INT/00085,S00096,PROBA LLC,Hecho,2026-06-25 16:00,2026-06-17 17:19,2026-06-26 02:30:14
BDG/INT/00086,S00095,PROBA LLC,Hecho,2026-06-25 16:00,2026-06-17 18:40,2026-06-26 02:30:14
BDG/INT/00099,S00096,PROBA LLC,Hecho,2026-06-25 18:37,2026-06-25 19:58,2026-06-26 02:30:14
BDG/INT/00100,S00096,PROBA LLC,Confirmado,2026-06-25 19:48,,2026-06-26 02:30:14
