lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,1.0,7.2,3.96,0.47,,,,15.3191489361702,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,2.0,7.2,3.79,0.47,,,,15.3191489361702,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,3.0,7.1,3.89,0.48,,,,14.7916666666667,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,4.0,7.3,3.86,0.46,,,,15.8695652173913,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,5.0,7.2,3.83,0.47,,,,15.3191489361702,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,6.0,7.3,3.85,0.47,,,,15.531914893617,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,7.0,7.7,3.82,0.47,,,,16.3829787234043,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,8.0,7.0,3.82,0.47,,,,14.8936170212766,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,9.0,7.8,3.86,0.48,,,,16.25,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,10.0,6.9,3.86,0.47,,,,14.6808510638298,ET,False,,2026-09-09,2026-09-09 20:30:40
HF PB 251 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,11.0,7.0,3.87,0.47,,,,14.8936170212766,ET,False,,2026-09-09,2026-09-09 20:30:40
