documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
ECLA/PICK/00010,S00054,PROBA LLC,Hecho,2026-06-17 09:31,2026-06-17 09:40,2026-06-18 01:00:16
BDG/INT/00084,S00093,NATURANDINA AMERICA IMPORT SL,Hecho,2026-06-17 16:18,2026-06-17 16:52,2026-06-18 01:00:16
BDG/INT/00085,S00096,PROBA LLC,Hecho,2026-06-25 16:00,2026-06-17 17:19,2026-06-18 01:00:16
BDG/INT/00086,S00095,PROBA LLC,Hecho,2026-06-25 16:00,2026-06-17 18:40,2026-06-18 01:00:16
