documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
PDT/INT/00017,S00134,NATURANDINA AMERICA IMPORT SL,Hecho,2026-07-22 14:18,2026-07-22 14:48,2026-07-22 22:00:27
PDT/PICK/00149,S00128,PROBA LLC,Disponible,2026-07-23 09:00,,2026-07-22 22:00:27
