orden_venta,producto,producto_template,cantidad,unidad_medida,precio_unitario,subtotal,actualizado
S00177,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,1305.0,kg,2.68,3497.4,2026-08-25 20:30:28
S00177,[SALS008] SALSA LISA DE FRESA ,[SALS008] SALSA LISA DE FRESA ,1005.0,kg,2.75,2763.75,2026-08-25 20:30:28
S00177,[SALS009] SALSA DE ARANDANO,[SALS009] SALSA DE ARANDANO,705.0,kg,11.86,8361.3,2026-08-25 20:30:28
S00176,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,546.0,kg,4.08,1051.69,2026-08-25 20:30:28
S00176,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,80.0,kg,8.58,686.4,2026-08-25 20:30:28
S00176,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,84.0,kg,2.48,208.32,2026-08-25 20:30:28
S00176,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,392.0,kg,2.75,1078.0,2026-08-25 20:30:28
S00176,[PULP002] PULPA DE MORA 41 BX 12 KG,[PULP002] PULPA DE MORA 41 BX 12 KG,96.0,kg,4.04,387.84,2026-08-25 20:30:28
S00176,[TOPP009] TOPPING DE DURAZNO 8 KG,[TOPP009] TOPPING DE DURAZNO 8 KG,120.0,kg,5.5,660.0,2026-08-25 20:30:28
S00175,[PTEXP020] Pulpa Tamarindo America x 250 gr (CAJAS 10 UDS),[PTEXP020] Pulpa Tamarindo America x 250 gr (CAJAS 10 UDS),13680.0,Units,0.65,8892.0,2026-08-25 20:30:28
S00175,[PTEXP019] Pulpa Lulo America x 250 gr (CAJAS 10 UDS),[PTEXP019] Pulpa Lulo America x 250 gr (CAJAS 10 UDS),17100.0,Units,0.57,9747.0,2026-08-25 20:30:28
S00175,[PTEXP012] Pulpa Mango America x 250 gr (CAJAS 10 UDS),[PTEXP012] Pulpa Mango America x 250 gr (CAJAS 10 UDS),17100.0,Units,0.43,7353.0,2026-08-25 20:30:28
S00175,[PTEXP017] Pulpa Guayaba America x 250 gr (CAJAS 10 UDS),[PTEXP017] Pulpa Guayaba America x 250 gr (CAJAS 10 UDS),6840.0,Units,0.42,2872.8,2026-08-25 20:30:28
S00175,[PTEXP014] Maracuyá C/ Pepas x 500 gr (CAJAS 10 UDS),[PTEXP014] Maracuyá C/ Pepas x 500 gr (CAJAS 10 UDS),3960.0,Units,1.88,7444.8,2026-08-25 20:30:28
S00175,[PTEXP015] Pulpa Maracuyá America x 250 gr (CAJAS 10 UDS),[PTEXP015] Pulpa Maracuyá America x 250 gr (CAJAS 10 UDS),10260.0,Units,0.9,9234.0,2026-08-25 20:30:28
S00175,[PTEXP022] Lulo Entero Congelado América x 500gr (Cajas de 12 uds),[PTEXP022] Lulo Entero Congelado América x 500gr (Cajas de 12 uds),3168.0,Units,1.32,4181.76,2026-08-25 20:30:28
S00174,[FRUTP005] FRESA PICADA 16 KG,[FRUTP005] FRESA PICADA 16 KG,2304.0,kg,2.12,4884.48,2026-08-25 20:30:28
S00173,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,1000.0,kg,3.87,3870.0,2026-08-25 20:30:28
S00172,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,400.0,kg,3.87,1548.0,2026-08-25 20:30:28
S00171,[PULP012] PULPA DE TOMATE DE ARBOL 16 KG,[PULP012] PULPA DE TOMATE DE ARBOL 16 KG,2512.0,kg,2.62,6581.44,2026-08-25 20:30:28
S00171,[PULP009] PULPA DE PAPAYA 16 KG,[PULP009] PULPA DE PAPAYA 16 KG,320.0,kg,2.1,672.0,2026-08-25 20:30:28
S00171,[PULP010] PULPA DE MARACUYA 10 KG,[PULP010] PULPA DE MARACUYA 10 KG,10.0,kg,3.45,34.5,2026-08-25 20:30:28
S00171,[PULP014] PULPA DE PIÑA 16 KG,[PULP014] PULPA DE PIÑA 16 KG,192.0,kg,2.67,512.64,2026-08-25 20:30:28
S00170,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,546.0,kg,4.08,2227.68,2026-08-25 20:30:28
S00170,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,144.0,kg,8.58,1235.52,2026-08-25 20:30:28
S00170,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,84.0,kg,2.48,208.32,2026-08-25 20:30:28
S00170,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,392.0,kg,2.75,1078.0,2026-08-25 20:30:28
S00170,[PULP002] PULPA DE MORA 41 BX 12 KG,[PULP002] PULPA DE MORA 41 BX 12 KG,96.0,kg,4.04,387.84,2026-08-25 20:30:28
S00170,[TOPP009] TOPPING DE DURAZNO 8 KG,[TOPP009] TOPPING DE DURAZNO 8 KG,120.0,kg,5.5,660.0,2026-08-25 20:30:28
S00169,[PULP026] PULPA DE PIÑA 16 KG CONGELADA,[PULP026] PULPA DE PIÑA 16 KG CONGELADA,3168.0,kg,1.51,4783.68,2026-08-25 20:30:28
S00031,[PULP005] PULPA DE NARANJILLA 16 KG,[PULP005] PULPA DE NARANJILLA 16 KG,1296.0,kg,2.87,3719.52,2026-08-25 20:30:28
S00167,[PULP025] PULPA DE MANGO 16 KG,[PULP025] PULPA DE MANGO 16 KG,160.0,kg,1.45,232.0,2026-08-25 20:30:28
S00166,[PULP025] PULPA DE MANGO 16 KG,[PULP025] PULPA DE MANGO 16 KG,32.0,kg,1.37,43.84,2026-08-25 20:30:28
S00165,[SALS005] SALSA DE DURAZNO EDULCORADA 15 KG,[SALS005] SALSA DE DURAZNO EDULCORADA 15 KG,105.0,kg,3.74,392.7,2026-08-25 20:30:28
S00164,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,2010.0,kg,2.68,5386.8,2026-08-25 20:30:28
S00164,[SALS008] SALSA LISA DE FRESA ,[SALS008] SALSA LISA DE FRESA ,1200.0,kg,2.75,3300.0,2026-08-25 20:30:28
S00164,[SALS009] SALSA DE ARANDANO,[SALS009] SALSA DE ARANDANO,510.0,kg,11.86,6048.6,2026-08-25 20:30:28
S00163,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,546.0,kg,4.08,2227.68,2026-08-25 20:30:28
S00163,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,46.0,kg,4.24,195.04,2026-08-25 20:30:28
S00163,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,144.0,kg,8.58,1235.52,2026-08-25 20:30:28
S00163,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,72.0,kg,2.48,178.56,2026-08-25 20:30:28
S00163,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,392.0,kg,2.75,1078.0,2026-08-25 20:30:28
