lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
L1772615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,1.0,7.7,3.14,2.24,,,,3.4375,SF,False,,2026-07-03,2026-07-04 04:00:32
L1772615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,2.0,7.7,3.16,,,,,,SF,False,,2026-07-03,2026-07-04 04:00:32
L1842603,ECUAJUGOS SA  - PULPA DE NARANJILLA 16 KG - ECUAJUGOS SA,1.0,7.6,3.03,2.36,,,,3.22033898305085,SF,False,,2026-07-03,2026-07-04 04:00:32
L1842603,ECUAJUGOS SA  - PULPA DE NARANJILLA 16 KG - ECUAJUGOS SA,2.0,7.6,3.11,2.26,,,,3.36283185840708,SF,False,,2026-07-03,2026-07-04 04:00:32
L1842603,ECUAJUGOS SA  - PULPA DE NARANJILLA 16 KG - ECUAJUGOS SA,3.0,7.7,3.13,2.24,,,,3.4375,SF,False,,2026-07-03,2026-07-04 04:00:32
L1842603,ECUAJUGOS SA  - PULPA DE NARANJILLA 16 KG - ECUAJUGOS SA,4.0,7.7,3.14,2.24,,,,3.4375,SF,False,"Encime para 7 tachos, 112 kg",2026-07-03,2026-07-04 04:00:32
L1842614,AXIONLOG ECUADOR S.A  - PULPA DE MORA 150 g - AXIONLOG ECUADOR S.A,1.0,8.4,2.98,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,1.0,7.5,3.11,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,2.0,7.5,3.17,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,3.0,7.7,3.1,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,4.0,7.1,3.08,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,5.0,7.1,3.08,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,6.0,7.5,3.24,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,7.0,7.2,3.16,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,MERICA  - PULPA DE LULO MERICA UNIDAD 250 g - MERICA,8.0,7.3,3.19,,,,,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,REYLACTEOS C.L.  - SALSA DE MORA EDULCORADA 15 KG - REYLACTEOS C.L.,9.0,10.2,3.11,,8.5,,52.5,,ET,False,,2026-07-03,2026-07-04 04:00:32
L1842615,REYLACTEOS C.L.  - SALSA DE MORA EDULCORADA 15 KG - REYLACTEOS C.L.,10.0,10.2,3.06,,8.1,,53.9,,ET,False,,2026-07-03,2026-07-04 04:00:32
