lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,1.0,13.9,4.19,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,2.0,13.6,4.23,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,3.0,13.0,4.19,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,4.0,13.4,4.18,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,5.0,13.2,4.11,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,6.0,13.9,4.09,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,7.0,13.2,4.09,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,8.0,13.1,4.15,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,9.0,13.1,4.16,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,10.0,13.0,4.13,,,,,,SF,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,11.0,13.1,4.1,,,,,,ET,False,,2026-07-01,2026-07-02 01:30:23
L1802615,MERICA  - PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,12.0,13.0,4.17,,,,,,ET,False,,2026-07-01,2026-07-02 01:30:23
L1822603,ECUAJUGOS SA  - PULPA DE MORA 16 KG - ECUAJUGOS SA,1.0,8.4,2.75,2.66,,,,3.15789473684211,ET,False,,2026-07-01,2026-07-02 01:30:23
L1822603,ECUAJUGOS SA  - PULPA DE MORA 16 KG - ECUAJUGOS SA,2.0,7.5,2.76,2.22,,,,3.37837837837838,ET,False,,2026-07-01,2026-07-02 01:30:23
L1822603,ECUAJUGOS SA  - PULPA DE MORA 16 KG - ECUAJUGOS SA,3.0,8.0,2.94,2.2,,,,3.63636363636364,ET,False,,2026-07-01,2026-07-02 01:30:23
L1822609,KAARUFOOD CIA LTDA  - PULPA DE MORA 41 BX 12 KG - KAARUFOOD CIA LTDA,1.0,41.2,2.82,,,,,,ET,False,,2026-07-01,2026-07-02 01:30:23
