documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
PDT/INT/00034,S00168,NATURANDINA AMERICA IMPORT SL,Confirmado,2026-08-19 08:37,,2026-08-20 01:00:26
PDT/INT/00033,S00168,NATURANDINA AMERICA IMPORT SL,Hecho,2026-08-19 08:37,2026-08-19 17:55,2026-08-20 01:00:26
