lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 203 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,1.0,14.3,3.54,0.8,,,,17.875,ET,False,,2026-08-19,2026-08-20 04:30:31
HF PB 231 26,GOYA USA  - TOMATE DE ARBOL GOYA USA ENTERO UNIDAD 397 g - GOYA USA,1.0,9.4,3.85,1.21,,,,7.76859504132231,ET,False,,2026-08-19,2026-08-20 04:30:31
L2242615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,1.0,18.2,2.84,,,,,,ET,False,,2026-08-19,2026-08-20 04:30:31
L2302615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,1.0,18.2,2.85,,,,,,ET,False,,2026-08-19,2026-08-20 04:30:31
L2302615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,2.0,19.0,2.79,,,,,,ET,False,,2026-08-19,2026-08-20 04:30:31
L2302615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,3.0,18.2,2.89,,,,,,ET,False,,2026-08-19,2026-08-20 04:30:31
L2302615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,4.0,18.1,2.85,,,,,,ET,False,,2026-08-19,2026-08-20 04:30:31
L2302615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,5.0,18.2,2.86,,,,,,ET,False,,2026-08-19,2026-08-20 04:30:31
