documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
PDT/INT/00007,S00127,NATURANDINA AMERICA IMPORT SL,Hecho,2026-07-12 08:38,2026-07-12 12:35,2026-07-13 03:00:31
PDT/INT/00008,S00128,PROBA LLC,Hecho,2026-07-12 09:18,2026-07-12 12:36,2026-07-13 03:00:31
