lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,1.0,15.0,4.16,0.34,,,,44.1176470588235,ET,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,2.0,14.4,4.12,0.34,,,,42.3529411764706,ET,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,3.0,15.0,4.18,0.33,,,,45.4545454545455,ET,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,4.0,15.1,4.19,0.34,,,,44.4117647058823,ET,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,5.0,14.7,4.2,0.34,,,,43.2352941176471,ET,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,6.0,14.1,4.19,0.36,,,,39.1666666666667,JG,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,7.0,14.8,4.2,0.35,,,,42.2857142857143,ET,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,8.0,14.7,4.2,0.35,,,,42.0,SF,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,9.0,13.1,4.2,0.35,,,,37.4285714285714,SF,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,10.0,13.0,4.2,0.35,,,,37.1428571428571,SF,False,,2026-08-10,2026-08-11 00:00:33
HF PB 222 26,GOYA USA  - PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,11.0,13.0,4.2,0.35,,,,37.1428571428571,SF,False,,2026-08-10,2026-08-11 00:00:33
L2082615,MERICA  - MARACUYÁ CON PEPAS MERICA UNIDAD 500 g - MERICA,1.0,13.9,2.96,,,,,,ET,False,,2026-08-10,2026-08-11 00:00:33
