documento,origen,cliente,estado,fecha_programada,fecha_efectiva,actualizado
BDG/INT/00095,S00095,PROBA LLC,Disponible,2026-06-24 17:03,,2026-06-24 22:50:39
BDG/INT/00096,S00096,PROBA LLC,Disponible,2026-06-24 17:11,,2026-06-24 22:50:39
BDG/INT/00085,S00096,PROBA LLC,Hecho,2026-06-25 16:00,2026-06-17 17:19,2026-06-24 22:50:39
BDG/INT/00086,S00095,PROBA LLC,Hecho,2026-06-25 16:00,2026-06-17 18:40,2026-06-24 22:50:39
