lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,1.0,14.7,3.59,0.72,,,,20.4166666666667,ET,False,,2026-07-08,2026-07-09 00:30:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,2.0,14.5,3.61,0.96,,,,15.1041666666667,ET,False,,2026-07-08,2026-07-09 00:30:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,3.0,14.0,3.64,0.75,,,,18.6666666666667,ET,False,,2026-07-08,2026-07-09 00:30:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,4.0,13.6,3.47,0.83,,,,16.3855421686747,ET,False,,2026-07-08,2026-07-09 00:30:45
L1892601,UNILEVER  - COCO RALLADO 20 KG - UNILEVER,1.0,36.6,4.59,,,,,,SF,False,,2026-07-08,2026-07-09 00:30:45
L1892601,UNILEVER  - COCO RALLADO 20 KG - UNILEVER,2.0,36.3,4.58,,,,,,SF,False,,2026-07-08,2026-07-09 00:30:45
L1892601,UNILEVER  - COCO RALLADO 20 KG - UNILEVER,3.0,36.3,4.46,,,,,,SF,False,,2026-07-08,2026-07-09 00:30:45
L1892601,UNILEVER  - COCO RALLADO 20 KG - UNILEVER,4.0,36.2,4.54,,,,,,SF,False,,2026-07-08,2026-07-09 00:30:45
L1892601,UNILEVER  - COCO RALLADO 20 KG - UNILEVER,5.0,36.1,4.41,,,,,,SF,False,,2026-07-08,2026-07-09 00:30:45
L1892601,UNILEVER  - COCO RALLADO 20 KG - UNILEVER,6.0,36.5,4.67,,,,,,SF,False,,2026-07-08,2026-07-09 00:30:45
L1892607,REYLACTEOS C.L.  - SALSA DE DURAZNO EDULCORADA 15 KG - REYLACTEOS C.L.,1.0,10.4,3.71,,3.5,,55.87,,ET,False,,2026-07-08,2026-07-09 00:30:45
