codigo,descripcion,cliente,brix_min,brix_max,ph_min,ph_max
TOPP002,TOPPING DE PIÑA 20BX 2 KG - KAARUFOOD CIA LTDA,KAARUFOOD CIA LTDA ,19.0,20.0,3.4,3.8
PULP010,PULPA DE MARACUYA 10 KG - LOS ANDES,LOS ANDES ,10.0,16.0,2.5,3.5
PULP009,PULPA DE PAPAYA 16 KG - LOS ANDES,LOS ANDES ,8.0,12.0,4.0,5.7
PULP014,PULPA DE PIÑA 16 KG - LOS ANDES,LOS ANDES ,10.0,16.0,3.0,4.2
PULP012,PULPA DE TOMATE DE ARBOL 16 KG - LOS ANDES,LOS ANDES ,8.0,12.0,3.0,4.2
PTEC022,LULO ENTERO MERICA UNIDAD 500 g - MERICA,MERICA ,6.0,10.0,3.0,3.5
PTEC014,MARACUYÁ CON PEPAS MERICA UNIDAD 500 g - MERICA,MERICA ,11.0,16.0,2.5,3.5
PTEC023,MORA ENTERA MERICA UNIDAD 500 g - MERICA,MERICA ,6.0,10.0,2.5,3.5
PTEC011,PULPA CREMA DE COCO MERICA UNIDAD 250 g - MERICA,MERICA ,23.0,28.0,5.4,6.5
PTEC018,PULPA DE GUANABANA MERICA UNIDAD 250 g - MERICA,MERICA ,11.0,15.0,3.4,4.0
PTEC017,PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,MERICA ,6.0,9.0,3.5,4.5
PTEC019,PULPA DE LULO MERICA UNIDAD 250 g - MERICA,MERICA ,6.0,10.0,3.0,3.5
PTEC012,PULPA DE MANGO MERICA UNIDAD 250 g - MERICA,MERICA ,13.0,18.0,3.9,4.5
PTEC015,PULPA DE MARACUYA MERICA UNIDAD 250 g - MERICA,MERICA ,11.0,16.0,2.5,3.5
PTEC016,PULPA DE MORA MERICA UNIDAD 250 g - MERICA,MERICA ,6.0,10.0,2.5,3.5
PTEC020,PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,MERICA ,18.0,20.0,2.0,3.0
PTEC013,PULPA DE TOMATE DE ÁRBOL MERICA UNIDAD 250 g - MERICA,MERICA ,7.0,10.0,3.0,4.2
PTEC021,TOMATE DE ÁRBOL ENTERO MERICA UNIDAD 500 g - MERICA,MERICA ,7.0,10.0,3.0,4.2
PULP025, PULPA DE MANGO 16 KG - PRODUCTOS OLE,PRODUCTOS OLE ,13.0,16.0,3.7,4.2
SALS005,SALSA DE DURAZNO EDULCORADA 15 KG - REYLACTEOS C.L.,REYLACTEOS C.L. ,6.5,11.5,3.5,4.5
SALS006,SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,REYLACTEOS C.L. ,6.0,10.0,3.0,3.8
SALS004,SALSA DE MORA EDULCORADA 15 KG - REYLACTEOS C.L.,REYLACTEOS C.L. ,10.0,14.0,2.5,3.5
SALS008,SALSA DE FRESA LISA - REYLACTEOS C.L.,REYLACTEOS C.L. ,6.0,11.0,3.0,4.2
SALS009,SALSA DE ARÁNDANO - REYLACTEOS C.L.,REYLACTEOS C.L. ,7.0,14.0,3.0,4.2
PULP001,COCO RALLADO 20 KG - UNILEVER,UNILEVER ,36.0,37.0,4.0,4.8
PULP003,PULPA DE FRESA 20 KG - UNILEVER,UNILEVER ,7.0,10.0,2.5,3.5
PULP004,PULPA DE MORA CON PEPAS 18 KG - UNILEVER,UNILEVER ,8.0,10.0,2.8,3.3
SW001,SWIRL DE MORA 20 KG - UNILEVER,UNILEVER ,49.0,52.0,3.1,3.45
PULP019,PULPA DE MARACUYA 16 KG - VITA ALIMENTOS C. A.,VITA ALIMENTOS C. A. ,11.0,16.0,2.5,3.5
PULP013,PULPA DE MORA 18 KG - VITA ALIMENTOS C. A.,VITA ALIMENTOS C. A. ,6.0,10.0,2.5,3.5
PULP018,PULPA DE NARANJILLA 20 KG - VITA ALIMENTOS C. A.,VITA ALIMENTOS C. A. ,6.0,10.0,2.5,3.5
PTEC034,PULPA DE MARACUYA EVOKE UNIDAD 250 g,EVOKE,,,,
PTEC033,PULPA DE PIÑA EVOKE UNIDAD 250 g,EVOKE,,,,
PTEC035,PULPA DE MANGO EVOKE UNIDAD 250 g,EVOKE,,,,
